variant,section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
A,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support; extra: age <= 27 with value/pot support,2,10.5%,
A,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support; extra: age <= 27 with value/pot support,2,10.5%,
A,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.6; role: GS >= 41; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: VORP >= 1; extra: defense/rebounding/connector support; extra: shooting/spacing support,1,5.3%,
A,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.6; role: GS >= 41; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,1,5.3%,
A,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,1,5.3%,
A,bpm_bucket,SOLID_STARTER,,,,BPM >= 1,18,94.7%,
A,bpm_bucket,SOLID_STARTER,,,,0 <= BPM < 1,1,5.3%,
A,production_bucket,SOLID_STARTER,,,,elite extra production,19,100.0%,
A,role_bucket,SOLID_STARTER,,,,very strong starter role,19,100.0%,
A,labeled_solid_attribution_summary,SOLID_STARTER,,,,,6,,improved 4; worsened 2; fixed severe 2; new severe 0; too_low fixed 2; too_high added 2
A,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.6; role: GS >= 41; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,1,,boundary40 G-01; bucket solid_starter; human $12.00M-$20.00M; current point 15.85; candidate point 23.99; too_high
A,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.6; role: GS >= 41; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: VORP >= 1; extra: defense/rebounding/connector support; extra: shooting/spacing support,1,,boundary40 G-03; bucket solid_starter; human $12.00M-$18.00M; current point 16.03; candidate point 24.17; too_high
